model,split,n,mae,rmse,median_ae,p90_ae,bias
rolling_avg_90d,validation,527499,26.369196641887317,61.38906677701973,12.660377358490566,57.125,0.46173022473940023
rolling_avg_90d,test,1062551,25.2664809016045,59.77969114819602,13,53.4,2.156141684602048
glmnet_ridge,validation,527499,23.770824464146685,55.00005538259326,14.941321912894944,37.3790754328999,-0.4811913938620253
glmnet_ridge,test,1062551,22.35186066018078,53.03036289585132,14.872276939916636,34.14878863258076,1.4394870543835434
xgboost_v1,validation,527499,23.8446715732271,54.85875617327334,15.184748649597168,35.08661575317384,-0.41225338968026315
xgboost_v1,test,1062551,22.102047174385508,53.0918941320341,14.498495101928711,31.977325439453125,0.4605981914626804
